Country,Surface..km2,Population,Average.Height.Male..cm.,Average.Height.Female..cm.,Sex ratio (m per 100f),International trade: Export..mln USD,International trade: Import..mln USD,GDP per capita (current US$)
Tokelau,12,1357,176.06,166.08,100.0,0,0,523.2
Tonga,747,105695,175.11,166.08,100.7,14,14,3784.5
Trinidad and Tobago,5127,1399488,176.03,163.38,97.1,4576,4576,19062.9
Tunisia,163610,11818619,176.85,161.69,97.6,13483,13483,3660.9
Turkey,783562,84339067,176.36,161.8,97.0,142606,142606,9125.8
Turkmenistan,488100,10196709,174.37,162.83,97.0,3741,3741,6996.7
Tuvalu,26,11792,171.3,163.57,102.0,0,0,3362.4
Uganda,241550,45741007,168.74,158.53,99.0,2755,2755,647.7
Ukraine,603500,2078938,180.98,166.62,86.0,36369,36369,2021.6
United Arab Emirates,83600,9890402,174.08,160.53,262.4,195613,195613,40438.8
United Kingdom,242495,67886011,178.21,163.94,97.4,415856,415856,44162.4
Uruguay,173626,3473730,174.32,161.56,93.5,6964,6964,15573.8
Uzbekistan,448969,33469203,170.94,160.29,99.4,27947,27947,2308.3
Vanuatu,12189,307145,168.29,160.48,102.4,50,50,2783.0
Yemen,527968,29825964,164.42,154.76,102.1,570,570,1106.4
Zambia,752612,18383955,167.62,157.32,98.5,6505,6505,1311.1
Zimbabwe,390757,14862924,170.69,159.85,95.0,2832,2832,890.4
